accession,species
GCF_000746805.1,Mycobacterium tuberculosis
GCF_020684325.1,Mycobacterium tuberculosis
GCF_000649975.1,Mycobacterium tuberculosis
GCF_900122265.1,Mycobacterium tuberculosis
GCF_001384155.1,Mycobacterium tuberculosis
GCF_900121765.1,Mycobacterium tuberculosis
GCF_000673675.1,Mycobacterium tuberculosis
GCF_001325525.1,Mycobacterium tuberculosis
GCF_014884665.1,Mycobacterium tuberculosis
GCF_001317925.1,Mycobacterium tuberculosis
GCF_000649955.1,Mycobacterium tuberculosis
GCF_001327895.1,Mycobacterium tuberculosis
GCF_001851845.1,Mycobacterium tuberculosis
GCF_001840835.1,Mycobacterium tuberculosis
GCF_001324765.1,Mycobacterium tuberculosis
GCF_001947675.1,Mycobacterium tuberculosis
GCF_001394995.1,Mycobacterium tuberculosis
GCF_004109215.1,Mycobacterium tuberculosis
GCF_000651575.1,Mycobacterium tuberculosis
GCF_001287205.1,Mycobacterium tuberculosis
GCF_001945875.1,Mycobacterium tuberculosis
GCF_000653875.1,Mycobacterium tuberculosis
GCF_001389015.1,Mycobacterium tuberculosis
GCF_000655195.1,Mycobacterium tuberculosis
GCF_002129565.1,Mycobacterium tuberculosis
GCF_001389935.1,Mycobacterium tuberculosis
GCF_003398765.1,Mycobacterium tuberculosis
GCF_000666725.1,Mycobacterium tuberculosis
GCF_001376295.1,Mycobacterium tuberculosis
GCF_000667145.1,Mycobacterium tuberculosis
GCF_003395065.1,Mycobacterium tuberculosis
GCF_000655515.1,Mycobacterium tuberculosis
GCF_001852785.1,Mycobacterium tuberculosis
GCF_000657035.1,Mycobacterium tuberculosis
GCF_001844065.1,Mycobacterium tuberculosis
GCF_001388015.1,Mycobacterium tuberculosis
GCF_000653655.1,Mycobacterium tuberculosis
GCF_004107025.1,Mycobacterium tuberculosis
GCF_004109025.1,Mycobacterium tuberculosis
GCF_001390175.1,Mycobacterium tuberculosis
GCF_900123375.1,Mycobacterium tuberculosis
GCA_000736055.1,Mycobacterium tuberculosis
GCF_001143165.1,Mycobacterium tuberculosis
GCF_000653595.1,Mycobacterium tuberculosis
GCF_001377855.1,Mycobacterium tuberculosis
GCF_001390815.1,Mycobacterium tuberculosis
GCF_001943725.1,Mycobacterium tuberculosis
GCF_003396745.1,Mycobacterium tuberculosis
GCF_000670775.1,Mycobacterium tuberculosis
GCF_003392355.1,Mycobacterium tuberculosis
GCF_007859525.1,Mycobacterium tuberculosis
GCF_000649455.1,Mycobacterium tuberculosis
GCF_003393935.1,Mycobacterium tuberculosis
GCF_000194055.1,Mycobacterium tuberculosis
GCF_001389255.1,Mycobacterium tuberculosis
GCF_001395775.1,Mycobacterium tuberculosis
GCF_001846725.1,Mycobacterium tuberculosis
GCF_001377775.1,Mycobacterium tuberculosis
GCF_001852365.1,Mycobacterium tuberculosis
GCF_004108045.1,Mycobacterium tuberculosis
GCF_004105035.1,Mycobacterium tuberculosis
GCF_001322465.1,Mycobacterium tuberculosis
GCF_001376075.1,Mycobacterium tuberculosis
GCF_001385455.1,Mycobacterium tuberculosis
GCF_001969025.1,Mycobacterium tuberculosis
GCF_000665205.1,Mycobacterium tuberculosis
GCF_004111975.1,Mycobacterium tuberculosis
GCF_000665165.1,Mycobacterium tuberculosis
GCF_003027855.2,Mycobacterium tuberculosis
GCF_001843375.1,Mycobacterium tuberculosis
GCF_001849395.1,Mycobacterium tuberculosis
GCF_000680115.1,Mycobacterium tuberculosis
GCF_020684485.1,Mycobacterium tuberculosis
GCF_001380675.1,Mycobacterium tuberculosis
GCA_011044455.1,Mycobacterium tuberculosis
GCF_002447155.1,Mycobacterium tuberculosis
GCF_001379935.1,Mycobacterium tuberculosis
GCF_001393535.1,Mycobacterium tuberculosis
GCF_000652355.1,Mycobacterium tuberculosis
GCF_005156105.1,Mycobacterium tuberculosis
GCF_001394335.1,Mycobacterium tuberculosis
GCF_003398205.1,Mycobacterium tuberculosis
GCF_000661185.1,Mycobacterium tuberculosis
GCF_002447775.1,Mycobacterium tuberculosis
GCF_001395515.1,Mycobacterium tuberculosis
GCF_002110345.1,Mycobacterium tuberculosis
GCF_008762405.1,Mycobacterium tuberculosis
GCF_001846625.1,Mycobacterium tuberculosis
GCF_900127305.1,Mycobacterium tuberculosis
GCF_900123355.1,Mycobacterium tuberculosis
GCF_004110645.1,Mycobacterium tuberculosis
GCF_004107085.1,Mycobacterium tuberculosis
GCF_001844625.1,Mycobacterium tuberculosis
GCF_001270405.1,Mycobacterium tuberculosis
GCF_000677275.1,Mycobacterium tuberculosis
GCF_000660125.1,Mycobacterium tuberculosis
GCF_001396595.1,Mycobacterium tuberculosis
GCF_000654855.1,Mycobacterium tuberculosis
GCF_000656575.1,Mycobacterium tuberculosis
GCF_003395085.1,Mycobacterium tuberculosis
GCF_001202675.1,Mycobacterium tuberculosis
GCF_000680195.1,Mycobacterium tuberculosis
GCF_001395915.1,Mycobacterium tuberculosis
GCF_002703995.1,Mycobacterium tuberculosis
GCF_001846545.1,Mycobacterium tuberculosis
GCF_000663925.1,Mycobacterium tuberculosis
GCF_001323025.1,Mycobacterium tuberculosis
GCF_000680155.1,Mycobacterium tuberculosis
GCF_003393485.1,Mycobacterium tuberculosis
GCF_001392835.1,Mycobacterium tuberculosis
GCF_900123955.1,Mycobacterium tuberculosis
GCF_001378835.1,Mycobacterium tuberculosis
GCF_001845795.1,Mycobacterium tuberculosis
GCF_001202835.1,Mycobacterium tuberculosis
GCF_000651395.1,Mycobacterium tuberculosis
GCF_001378815.1,Mycobacterium tuberculosis
GCF_001380475.1,Mycobacterium tuberculosis
GCF_000653495.1,Mycobacterium tuberculosis
GCF_000679935.1,Mycobacterium tuberculosis
GCF_000658215.1,Mycobacterium tuberculosis
GCF_001852405.1,Mycobacterium tuberculosis
GCF_004107195.1,Mycobacterium tuberculosis
GCF_020683325.1,Mycobacterium tuberculosis
GCF_001327795.1,Mycobacterium tuberculosis
GCF_000664205.1,Mycobacterium tuberculosis
GCF_000445975.1,Mycobacterium tuberculosis
GCF_000672815.1,Mycobacterium tuberculosis
GCF_900654255.1,Mycobacterium tuberculosis
GCA_009825375.1,Mycobacterium tuberculosis
GCF_000706525.1,Mycobacterium tuberculosis
GCF_000666325.1,Mycobacterium tuberculosis
GCF_000445325.1,Mycobacterium tuberculosis
GCF_900123135.1,Mycobacterium tuberculosis
GCF_900123105.1,Mycobacterium tuberculosis
GCF_002131555.1,Mycobacterium tuberculosis
GCF_000153685.2,Mycobacterium tuberculosis
GCF_001287325.1,Mycobacterium tuberculosis
GCF_001847925.1,Mycobacterium tuberculosis
GCF_000666225.1,Mycobacterium tuberculosis
GCF_001843515.1,Mycobacterium tuberculosis
GCF_003393165.1,Mycobacterium tuberculosis
GCF_004107345.1,Mycobacterium tuberculosis
GCF_001393855.1,Mycobacterium tuberculosis
GCF_004113035.1,Mycobacterium tuberculosis
GCF_001382535.1,Mycobacterium tuberculosis
GCF_014900755.1,Mycobacterium tuberculosis
GCF_000662845.1,Mycobacterium tuberculosis
GCF_000661695.1,Mycobacterium tuberculosis
GCF_001842615.1,Mycobacterium tuberculosis
GCF_001842015.1,Mycobacterium tuberculosis
GCF_004110195.1,Mycobacterium tuberculosis
GCF_001384935.1,Mycobacterium tuberculosis
GCF_001855905.1,Mycobacterium tuberculosis
GCF_000677955.1,Mycobacterium tuberculosis
GCF_008761925.1,Mycobacterium tuberculosis
GCF_000672755.1,Mycobacterium tuberculosis
GCF_001166845.1,Mycobacterium tuberculosis
GCF_001377375.1,Mycobacterium tuberculosis
GCF_014900195.1,Mycobacterium tuberculosis
GCF_000673835.1,Mycobacterium tuberculosis
GCF_004109935.1,Mycobacterium tuberculosis
GCF_001849495.1,Mycobacterium tuberculosis
GCF_007859385.1,Mycobacterium tuberculosis
GCF_001322605.1,Mycobacterium tuberculosis
GCF_004111285.1,Mycobacterium tuberculosis
GCF_000660685.1,Mycobacterium tuberculosis
GCF_900122865.1,Mycobacterium tuberculosis
GCF_004110795.1,Mycobacterium tuberculosis
GCF_000656595.1,Mycobacterium tuberculosis
GCF_001845925.1,Mycobacterium tuberculosis
GCF_005155785.1,Mycobacterium tuberculosis
